Position,Word_Kanji,Reading_Kana,English_Meaning,Part_of_Speech,Deck_Step_Label,Frequency_Rank
369,大丈夫,だいじょうぶ,"alright, okay",Adjectival Noun,Core 2000 Step 02 - 155,657
370,風邪,かぜ,cold (illness),Noun,Core 2000 Step 02 - 057,3785
371,きれい,きれい,pretty,Adjectival Noun,Core 2000 Step 02 - 145,1138
372,嬉しい,うれしい,"happy, glad",Adjective,Core 2000 Step 02 - 010,1298
373,なる (生る),なる,"produce fruit, grow (on a tree)",Verb,Core 2000 Step 02 - 195,
374,ため,ため,"sake, purpose",Noun,Core 2000 Step 02 - 196,98
375,より,より,"more, further",Adverb,Core 2000 Step 03 - 015,119
376,億,おく,hundred million,Noun,Core 2000 Step 08 - 137,2153
377,寺,てら,buddhist temple,Noun,Core 2000 Step 10 - 102,1261
378,日,ひ,"sun, sunlight, day",Noun,Core 2000 Step 07 - 186,94
379,火,ひ,fire,Noun,Core 2000 Step 10 - 135,461
380,木,き,"tree, wood",Noun,Core 2000 Step 04 - 190,605
381,金,きん,"gold, sum of money, Friday",Noun,Core 2000 Step 10 - 047,269
382,十分,じゅうぶん,"enough, plenty",Adjectival Noun,Core 2000 Step 03 - 165,1098
383,分,ぶん,"amount, part, share",Noun,Core 2000 Step 04 - 078,273
384,分ける,わける,"divide into parts, sort, share",Verb,Core 2000 Step 04 - 160,2489
385,分かれる,わかれる,"be divided, disperse, branch off",Verb,Core 2000 Step 05 - 063,6030
386,何か,なにか,"something, some",Noun,Core 2000 Step 05 - 117,
387,まず,まず,first (of all),Adverb,Core 2000 Step 03 - 084,438
388,先月,せんげつ,last month,Noun,Core 2000 Step 06 - 096,10311
389,やる,やる,"give (to animals, plants, etc.)",Verb,Core 2000 Step 03 - 038,78
390,先週,せんしゅう,last week,Noun,Core 2000 Step 07 - 005,9452
391,今まで,いままで,"until now, so far",Adverb,Core 2000 Step 07 - 080,919
392,来月,らいげつ,next month,Noun,Core 2000 Step 05 - 185,16035
393,来週,らいしゅう,next week,Noun,Core 2000 Step 08 - 040,11305
394,行う,おこなう,"do, carry out",Verb,Core 2000 Step 03 - 006,523
395,行き,いき,going,Noun,Core 2000 Step 10 - 020,3764
396,帰り,かえり,"return trip, going home",Noun,Core 2000 Step 06 - 162,2064
397,ほとんど,ほとんど,"almost, hardly",Adverb,Core 2000 Step 03 - 051,362
398,大きさ,おおきさ,"size, dimensions",Noun,Core 2000 Step 05 - 053,2304
399,大分,だいぶ,"very, greatly",Adverb,Core 2000 Step 08 - 075,4402
400,中,なか,"in, inside, middle",Noun,Core 2000 Step 09 - 099,71
401,少年,しょうねん,boy,Noun,Core 2000 Step 04 - 125,500
402,少しも,すこしも,(not) one bit,Adverb,Core 2000 Step 07 - 028,3081
403,少々,しょうしょう,"a little, a few (formal)",Adverb,Core 2000 Step 07 - 084,2187
404,多く,おおく,"many, much",Noun,Core 2000 Step 03 - 065,840
405,上がる,あがる,"go up, rise",Verb,Core 2000 Step 03 - 069,793
406,もう,もう,"another, again",Adverb,Core 2000 Step 03 - 070,103
407,上がる,あがる,"get nervous, get stage fright",Verb,Core 2000 Step 10 - 040,793
408,年上,としうえ,"older, senior",Noun,Core 2000 Step 10 - 104,4584
409,上り,のぼり,"going up, ascent",Noun,Core 2000 Step 10 - 122,6274
410,下げる,さげる,"lower, turn down",Verb,Core 2000 Step 05 - 119,1089
411,下がる,さがる,"come down, hang (down), fall",Verb,Core 2000 Step 06 - 003,2842
412,下りる,おりる,"go down, climb down",Verb,Core 2000 Step 07 - 008,1798
413,下ろす,おろす,"bring down, take down, withdraw (money)",Verb,Core 2000 Step 08 - 005,1863
414,下り,くだり,"downhill, going down",Noun,Core 2000 Step 08 - 166,7946
415,よく,よく,well,Adverb,Core 2000 Step 03 - 098,154
416,年下,としした,"junior, younger person",Noun,Core 2000 Step 08 - 180,7203
417,下る,くだる,"go down, go downward",Verb,Core 2000 Step 09 - 034,2145
418,一方,いっぽう,one way,Noun,Core 2000 Step 03 - 024,763
419,まま,まま,"as is, still (in the current state)",Noun,Core 2000 Step 03 - 102,151
420,二人,ふたり,two persons,Noun,Core 2000 Step 09 - 158,
421,大人しい,おとなしい,"gentle, quiet, subdued",Adjective,Core 2000 Step 10 - 026,22423
422,人々,ひとびと,people (polite),Noun,Core 2000 Step 10 - 139,492
423,一人で,ひとりで,by oneself,Adverb,Core 2000 Step 10 - 197,
424,外人,がいじん,"foreigner, alien (less polite)",Noun,Core 2000 Step 06 - 183,7325
425,外,そと,"outside, open air",Noun,Core 2000 Step 10 - 078,262
426,休日,きゅうじつ,"holiday, day off",Noun,Core 2000 Step 06 - 052,8581
427,休み,やすみ,"rest, holiday, absence",Noun,Core 2000 Step 06 - 159,4526
428,力,ちから,"strength, power",Noun,Core 2000 Step 03 - 089,235
429,協力,きょうりょく,"cooperation, collaboration",Verbal Noun,Core 2000 Step 04 - 046,2064
430,人口,じんこう,population,Noun,Core 2000 Step 04 - 136,6109
431,出口,でぐち,"exit, exit ramp",Noun,Core 2000 Step 08 - 001,3680
432,ただ,ただ,free,Noun,Core 2000 Step 03 - 136,158
433,入り口,いりぐち,entrance,Noun,Core 2000 Step 09 - 022,3549
434,右手,みぎて,right hand,Noun,Core 2000 Step 06 - 107,1045
435,左手,ひだりて,left hand,Noun,Core 2000 Step 06 - 194,1427
436,下手,へた,not good at,Adjectival Noun,Core 2000 Step 10 - 152,3085
437,これら,これら,these,Noun,Core 2000 Step 03 - 137,1380
438,足りる,たりる,"be enough, be sufficient",Verb,Core 2000 Step 06 - 165,2084
439,足す,たす,"add, supplement<div>(the same kind of thing)</div>",Verb,Core 2000 Step 08 - 108,6806
440,山,やま,mountain,Noun,Core 2000 Step 10 - 172,380
441,川,かわ,"river, stream",Noun,Core 2000 Step 05 - 011,744
442,いずれ,いずれ,"eventually, sometime",Adverb,Core 2000 Step 03 - 145,707
443,空く,あく,become available or vacant,Verb,Core 2000 Step 07 - 164,3139
444,空手,からて,"karate, empty hand",Noun,Core 2000 Step 10 - 041,19205
445,空,そら,"sky, weather",Noun,Core 2000 Step 10 - 082,425
446,海外,かいがい,"overseas, abroad",Noun,Core 2000 Step 04 - 132,5834
447,あまり,あまり,"(not) really, (not) very",Adverb,Core 2000 Step 03 - 166,361
448,海,うみ,"sea, ocean",Noun,Core 2000 Step 04 - 137,493
449,毎日,まいにち,every day,Noun,Core 2000 Step 04 - 166,1034
450,毎年,まいとし,every year (less formal),Noun,Core 2000 Step 05 - 161,4659
451,なお,なお,"still, in addition",Adverb,Core 2000 Step 03 - 174,1007
452,毎週,まいしゅう,every week,Noun,Core 2000 Step 06 - 197,12405
453,毎月,まいつき,every month,Noun,Core 2000 Step 10 - 157,9249
454,石,いし,"stone, small rock",Noun,Core 2000 Step 06 - 020,566
455,田んぼ,たんぼ,rice field,Noun,Core 2000 Step 08 - 036,17942
456,ほぼ,ほぼ,"roughly, nearly",Adverb,Core 2000 Step 03 - 189,1835
457,花,はな,flower,Noun,Core 2000 Step 04 - 170,494
458,林,はやし,"woods, grove",Noun,Core 2000 Step 07 - 023,1498
459,森,もり,"thick woods, forest",Noun,Core 2000 Step 05 - 197,667
460,子,こ,"child, kid",Noun,Core 2000 Step 04 - 090,220
461,女の子,おんなのこ,"girl, baby girl",Noun,Core 2000 Step 05 - 165,754
462,男の子,おとこのこ,"boy, baby boy",Noun,Core 2000 Step 06 - 111,1937
463,私たち,わたしたち,we,Noun,Core 2000 Step 05 - 042,537
464,達する,たっする,"attain, reach",Verb,Core 2000 Step 04 - 015,4776
465,家,いえ,"house, home",Noun,Core 2000 Step 03 - 061,114
466,家内,かない,my wife,Noun,Core 2000 Step 08 - 164,5331
467,客,きゃく,"visitor, customer",Noun,Core 2000 Step 10 - 046,553
468,空気,くうき,"air, atmosphere",Noun,Core 2000 Step 04 - 115,891
469,気に入る,きにいる,"like, be pleased with",Verb,Core 2000 Step 07 - 069,1852
470,人気,にんき,popularity,Noun,Core 2000 Step 10 - 114,2264
471,雨,あめ,rain,Noun,Core 2000 Step 04 - 168,654
472,雪,ゆき,"snow, snowfall",Noun,Core 2000 Step 04 - 192,730
473,まとめる,まとめる,"gather together, summarize",Verb,Core 2000 Step 04 - 068,2578
474,青い,あおい,blue,Adjective,Core 2000 Step 06 - 074,1130
475,青,あお,"blue, green, green light",Noun,Core 2000 Step 06 - 169,1456
476,晴れ,はれ,"fine weather, clear sky",Noun,Core 2000 Step 09 - 017,14389
477,明らか,あきらか,"clear, obvious",Adjective,Core 2000 Step 03 - 074,948
478,やはり,やはり,"as expected, also, still",Adverb,Core 2000 Step 04 - 097,410
479,明るい,あかるい,"bright, cheerful",Adjective,Core 2000 Step 05 - 046,938
480,明日,あした,tomorrow,Noun,Core 2000 Step 09 - 091,706
481,暗い,くらい,"dark, dreary, shadowy",Adjective,Core 2000 Step 05 - 167,556
482,昨年,さくねん,last year (polite),Noun,Core 2000 Step 03 - 016,5504
483,はっきり,はっきり,"clearly, distinctly",Adverb,Core 2000 Step 04 - 102,456
484,一昨年,おととし,the year before last,Noun,Core 2000 Step 06 - 051,13709
485,一昨日,おととい,day before yesterday,Noun,Core 2000 Step 09 - 168,6991
486,東,ひがし,"east, eastern",Noun,Core 2000 Step 09 - 120,696
487,西,にし,"west, western",Noun,Core 2000 Step 09 - 153,1330
488,つまり,つまり,"in short, basically",Adverb,Core 2000 Step 04 - 103,342
489,南,みなみ,south,Noun,Core 2000 Step 10 - 165,1199
490,北,きた,north,Noun,Core 2000 Step 05 - 123,1155
491,方向,ほうこう,"direction, course",Noun,Core 2000 Step 03 - 155,1375
492,向かう,むかう,"face, head toward, confront",Verb,Core 2000 Step 04 - 036,353
493,ビル,ビル,building (ローマ字),Noun,Core 2000 Step 04 - 123,1403
494,向こう,むこう,"the other side, the other party, opponent",Noun,Core 2000 Step 05 - 169,892
495,向く,むく,"turn, face, look",Verb,Core 2000 Step 06 - 033,935
496,開く,あく,open が,Verb,Core 2000 Step 03 - 013,280
497,聞こえる,きこえる,"be heard, be audible",Verb,Core 2000 Step 05 - 060,418
498,もちろん,もちろん,"of course, needless to say",Adverb,Core 2000 Step 04 - 127,376
499,年間,ねんかん,period of one year,Noun,Core 2000 Step 04 - 065,1621
500,この間,このあいだ,"the other day, recently",Noun,Core 2000 Step 07 - 192,3418
501,間,あいだ,"interval, space between",Noun,Core 2000 Step 10 - 014,197
502,人間,にんげん,"human being, people",Noun,Core 2000 Step 10 - 115,140
503,かつて,かつて,"once, formerly",Adverb,Core 2000 Step 04 - 130,980
504,高さ,たかさ,height,Noun,Core 2000 Step 05 - 049,182214
505,最大,さいだい,"biggest, largest",Noun,Core 2000 Step 03 - 116,2294
506,初めて,はじめて,"first, for the first time",Adverb,Core 2000 Step 03 - 073,607
507,最初,さいしょ,"the beginning, first",Noun,Core 2000 Step 04 - 003,364
508,初め,はじめ,"beginning, start",Noun,Core 2000 Step 10 - 128,1640
509,今後,こんご,"after this, in the future (formal)",Noun,Core 2000 Step 03 - 032,2683
510,後[のち],のち,"after, afterwards (formal)",Noun,Core 2000 Step 03 - 163,
511,最後,さいご,"last, final",Noun,Core 2000 Step 04 - 049,347
512,なぜ,なぜ,"why, for what reason",Adverb,Core 2000 Step 04 - 154,293
513,明後日,あさって,day after tomorrow,Noun,Core 2000 Step 09 - 164,9900
514,牛,うし,"cattle, cow",Noun,Core 2000 Step 06 - 077,2134
515,半分,はんぶん,half,Noun,Core 2000 Step 04 - 179,952
516,半年,はんとし,half a year,Noun,Core 2000 Step 07 - 200,3053
517,そのまま,そのまま,"like that, unchanged",Adverb,Core 2000 Step 04 - 158,445
518,半月,はんつき,half a month,Noun,Core 2000 Step 10 - 133,7891
519,半日,はんにち,half a day,Noun,Core 2000 Step 10 - 134,8672
520,毎朝,まいあさ,every morning,Noun,Core 2000 Step 07 - 154,6784
521,今朝,けさ,this morning,Noun,Core 2000 Step 08 - 073,2125
522,もし,もし,"if, in case of",Adverb,Core 2000 Step 04 - 198,319
523,昼休み,ひるやすみ,"noon recess, lunch break",Noun,Core 2000 Step 08 - 148,7948
524,昼前,ひるまえ,"in the morning, before noon",Noun,Core 2000 Step 09 - 135,18725
525,昼間,ひるま,"daytime, day",Noun,Core 2000 Step 09 - 182,2646
526,毎晩,まいばん,every evening,Noun,Core 2000 Step 07 - 168,5367
527,つもり,つもり,"intention, plan",Noun,Core 2000 Step 05 - 005,297
528,今夜,こんや,"tonight, this evening",Noun,Core 2000 Step 08 - 014,958
529,昨夜,ゆうべ,"last night, last evening",Noun,Core 2000 Step 10 - 175,1349
530,夜中,よなか,"midnight, dead of night",Noun,Core 2000 Step 10 - 183,3254
531,夕方,ゆうがた,evening,Noun,Core 2000 Step 05 - 106,1631
532,やっと,やっと,"at last, finally (exclamation)",Adverb,Core 2000 Step 05 - 008,822
533,昼食,ちゅうしょく,lunch (formal),Noun,Core 2000 Step 10 - 093,4158
534,朝食,ちょうしょく,breakfast (formal),Noun,Core 2000 Step 10 - 095,3306
535,夕食,ゆうしょく,supper (polite),Noun,Core 2000 Step 10 - 174,2261
536,夕飯,ゆうはん,"evening meal, supper (かたい)",Noun,Core 2000 Step 09 - 062,8536
537,見方,みかた,"view, way of looking",Noun,Core 2000 Step 04 - 044,6304
538,花見,はなみ,cherry blossom viewing,Noun,Core 2000 Step 08 - 183,15129
539,言い方,いいかた,"way of speaking, expression",Noun,Core 2000 Step 06 - 161,2333
540,話,はなし,"talk, story",Noun,Core 2000 Step 03 - 067,123
541,ずっと,ずっと,"the whole time, from start to finish",Adverb,Core 2000 Step 05 - 027,404
542,読み,よみ,"reading, judgment, foresight",Noun,Core 2000 Step 07 - 032,10226
543,読み方,よみかた,"way to read, reading",Noun,Core 2000 Step 09 - 020,23580
544,語る,かたる,"tell (a story), talk about",Verb,Core 2000 Step 03 - 035,680
545,言語,げんご,"language, speech",Noun,Core 2000 Step 04 - 071,4325
546,文字,もじ,"character, letter",Noun,Core 2000 Step 04 - 089,1331
547,字,じ,"character, letter, handwriting",Noun,Core 2000 Step 09 - 194,1378
548,書き方,かきかた,"how to write, way of writing",Noun,Core 2000 Step 08 - 083,18290
549,覚める,さめる,"awake, wake up (目が)",Verb,Core 2000 Step 08 - 147,3805
550,覚ます,さます,"awaken, wake up 目を",Verb,Core 2000 Step 09 - 008,3996
551,大会,たいかい,"mass meeting, tournament",Noun,Core 2000 Step 04 - 109,5158
552,しばらく,しばらく,"a short while, long time, for the time being",Adverb,Core 2000 Step 05 - 048,390
553,会話,かいわ,conversation,Verbal Noun,Core 2000 Step 07 - 090,1319
554,話し合う,はなしあう,"discuss, talk about",Verb,Core 2000 Step 04 - 189,3978
555,合う,あう,fit,Verb,Core 2000 Step 04 - 194,601
556,間に合う,まにあう,"be in time, serve (my) purpose<br>なくても〜 do without",Verb,Core 2000 Step 06 - 147,3366
557,会社,かいしゃ,"company, corporation",Noun,Core 2000 Step 03 - 054,705
558,社会,しゃかい,society,Noun,Core 2000 Step 03 - 086,1263
559,社員,しゃいん,"staff member, employee",Noun,Core 2000 Step 04 - 149,3211
560,仕方,しかた,"way, method",Noun,Core 2000 Step 06 - 059,918
561,うまい,うまい,good at (informal),Adjective,Core 2000 Step 05 - 066,508
562,食事,しょくじ,"meal, dinner (formal)",Verbal Noun,Core 2000 Step 05 - 043,852
563,火事,かじ,fire (emergency),Noun,Core 2000 Step 07 - 112,4297
564,大事,だいじ,important (thing),Adjectival Noun,Core 2000 Step 10 - 085,1121
565,事故,じこ,"accident, incident",Noun,Core 2000 Step 03 - 146,1886
566,工事,こうじ,construction work,Verbal Noun,Core 2000 Step 04 - 165,4630
567,工場,こうじょう,"factory, plant",Noun,Core 2000 Step 03 - 097,2001
568,電話,でんわ,"telephone, phone call",Verbal Noun,Core 2000 Step 03 - 147,286
569,電気,でんき,"electricity, electric light",Noun,Core 2000 Step 05 - 187,3376
570,車,くるま,car,Noun,Core 2000 Step 04 - 012,305
571,駅員,えきいん,station attendant,Noun,Core 2000 Step 07 - 150,13050
572,通り,とおり,"boulevard, street",Noun,Core 2000 Step 05 - 035,372
573,通る,とおる,"pass, take (a road), go through",Verb,Core 2000 Step 05 - 055,685
574,通う,かよう,"go (a place) often, go to and from",Verb,Core 2000 Step 05 - 112,1820
575,交通事故,こうつうじこ,traffic accident,Noun,Core 2000 Step 06 - 140,10411
576,水道,すいどう,"tap water, water supply",Noun,Core 2000 Step 07 - 047,11452
577,車道,しゃどう,"road, roadway (for vehicles)",Noun,Core 2000 Step 10 - 069,14580
578,トラック,トラック,"truck, lorry",Noun,Core 2000 Step 05 - 095,2762
579,道路,どうろ,"road, street",Noun,Core 2000 Step 04 - 173,1944
580,土地,とち,land,Noun,Core 2000 Step 03 - 108,1028
581,地図,ちず,"map, atlas",Noun,Core 2000 Step 05 - 162,2539
582,止める,とめる,"stop (sth), turn off",Verb,Core 2000 Step 08 - 178,652
583,止まる,とまる,"come to a stop, cease",Verb,Core 2000 Step 09 - 151,1321
584,止む,やむ,"<!--anki-->cease, stop,&nbsp;let up",Verb,Core 2000 Step 09 - 161,5131
585,歩道,ほどう,"sidewalk, footpath",Noun,Core 2000 Step 07 - 188,5912
586,うまい,うまい,"delicious, tasty (informal)",Adjective,Core 2000 Step 05 - 100,508
587,渡す,わたす,"<!--anki-->hand over, carry across",Verb,Core 2000 Step 05 - 151,921
588,渡る,わたる,"cross, ford, go across",Verb,Core 2000 Step 06 - 076,1078
589,年度,ねんど,"fiscal year, school year",Noun,Core 2000 Step 04 - 020,16954
590,今度,こんど,"this time, next time",Noun,Core 2000 Step 04 - 159,427
591,ガラス,ガラス,glass (the material),Noun,Core 2000 Step 05 - 103,1591
592,何度,なんど,"how many degrees, how many times",Noun,Core 2000 Step 06 - 123,161821
593,最近,さいきん,"lately, recent",Noun,Core 2000 Step 03 - 031,1086
594,遠く,とおく,great distance,Adverb,Core 2000 Step 05 - 179,1295
595,社長,しゃちょう,president (of a company),Noun,Core 2000 Step 03 - 079,1181
596,会長,かいちょう,"chairman, president",Noun,Core 2000 Step 03 - 133,2939
597,長さ,ながさ,length,Noun,Core 2000 Step 05 - 092,4968
598,長男,ちょうなん,eldest son,Noun,Core 2000 Step 05 - 127,4137
599,長女,ちょうじょ,eldest daughter,Noun,Core 2000 Step 10 - 094,9579
600,広がる,ひろがる,"spread out, reach が",Verb,Core 2000 Step 03 - 138,1652
601,広さ,ひろさ,"area, extent",Noun,Core 2000 Step 07 - 031,161821
602,全体,ぜんたい,"whole, total",Noun,Core 2000 Step 03 - 162,1372
603,全く,まったく,"entirely, truly, indeed",Adverb,Core 2000 Step 04 - 043,850
604,安全,あんぜん,"safety, security",Adjectival Noun,Core 2000 Step 04 - 181,2059
605,一部,いちぶ,part,Noun,Core 2000 Step 03 - 075,1249
606,部分,ぶぶん,"part, section",Noun,Core 2000 Step 03 - 118,851
607,国内,こくない,"domestic, internal",Noun,Core 2000 Step 03 - 052,5114
608,どんどん,どんどん,knock (sound),Adverb,Core 2000 Step 05 - 111,2119
609,全国,ぜんこく,the whole country,Noun,Core 2000 Step 03 - 080,5049
610,外国,がいこく,foreign country,Noun,Core 2000 Step 03 - 148,2610
611,国会,こっかい,"National Diet, parliament",Noun,Core 2000 Step 03 - 188,14767
612,帰国,きこく,return to one's country,Verbal Noun,Core 2000 Step 04 - 167,3480
613,外国人,がいこくじん,foreigner (polite),Noun,Core 2000 Step 04 - 172,4495
614,外国語,がいこくご,foreign language,Noun,Core 2000 Step 07 - 001,17985
615,世界,せかい,world,Noun,Core 2000 Step 03 - 033,301
616,黒い,くろい,black<div><br /></div>,Adjective,Core 2000 Step 05 - 131,504
617,黒,くろ,black,Noun,Core 2000 Step 06 - 100,1117
618,赤ちゃん,あかちゃん,baby,Noun,Core 2000 Step 06 - 012,7148
619,赤,あか,red,Noun,Core 2000 Step 06 - 108,1154
620,ビール,ビール,"beer, lager",Noun,Core 2000 Step 05 - 145,1892
621,銀行,ぎんこう,bank,Noun,Core 2000 Step 03 - 152,1966
622,銀,ぎん,silver,Noun,Core 2000 Step 06 - 137,1450
623,地下鉄,ちかてつ,subway,Noun,Core 2000 Step 06 - 011,7042
624,牛肉,ぎゅうにく,beef,Noun,Core 2000 Step 05 - 191,13401
625,肉,にく,"meat, flesh",Noun,Core 2000 Step 10 - 112,1100
626,魚,さかな,fish,Noun,Core 2000 Step 09 - 053,1271
627,分野,ぶんや,"field, sphere",Noun,Core 2000 Step 03 - 053,7291
628,野菜,やさい,vegetable,Noun,Core 2000 Step 05 - 150,4812
629,本屋,ほんや,"bookstore, bookseller",Noun,Core 2000 Step 08 - 030,10368
630,八百屋,やおや,"vegetable store, greengrocer",Noun,Core 2000 Step 08 - 141,14531
631,そば屋,そばや,soba restaurant,Noun,Core 2000 Step 09 - 200,26827
632,たばこ屋,たばこや,"cigarette shop, tobacco store",Noun,Core 2000 Step 10 - 001,
633,お茶,おちゃ,tea (polite),Noun,Core 2000 Step 07 - 096,1663
634,茶わん,ちゃわん,"rice bowl, tea cup",Noun,Core 2000 Step 10 - 092,20997
635,味,あじ,"taste, flavor",Noun,Core 2000 Step 05 - 137,1304
636,未来,みらい,future,Noun,Core 2000 Step 06 - 029,2002
637,週末,しゅうまつ,weekend,Noun,Core 2000 Step 06 - 163,10666
638,料理,りょうり,"cooking;<br>handling, management",Verbal Noun,Core 2000 Step 05 - 114,1345
639,無理,むり,"unreasonable, impossible, forced",Adjectival Noun,Core 2000 Step 05 - 121,699
640,あちこち,あちこち,"all over, here and there",Noun,Core 2000 Step 05 - 173,1737
641,なくす,なくす,"lose, get rid of",Verb,Core 2000 Step 09 - 117,3659
642,無くなる,なくなる,"disappear, run short, get lost",Verb,Core 2000 Step 09 - 152,10746
643,作文,さくぶん,"composition, essay",Noun,Core 2000 Step 07 - 064,16994
644,用いる,もちいる,"use, make use of",Verb,Core 2000 Step 03 - 034,2259
645,用事,ようじ,"things to do, errand, business",Noun,Core 2000 Step 08 - 057,3034
646,交通費,こうつうひ,"traveling expense, transportation cost",Noun,Core 2000 Step 08 - 190,42065
647,消える,きえる,"be extinguished, disappear",Verb,Core 2000 Step 03 - 119,435
648,消しゴム,けしごむ,(rubber) eraser,Noun,Core 2000 Step 09 - 095,27534
649,売れる,うれる,"be sold, be in demand",Verb,Core 2000 Step 05 - 074,3773
650,売り場,うりば,"sales floor, department",Noun,Core 2000 Step 06 - 170,16415
651,店員,てんいん,"clerk, salesperson",Noun,Core 2000 Step 07 - 048,4998
652,売店,ばいてん,"kiosk, store",Noun,Core 2000 Step 08 - 027,13766
653,商品,しょうひん,"goods, commodities",Noun,Core 2000 Step 03 - 196,4373
654,作品,さくひん,"work of art, piece",Noun,Core 2000 Step 04 - 057,956
655,販売,はんばい,"sale, selling",Verbal Noun,Core 2000 Step 03 - 020,7762
656,二階,にかい,"second floor, upstairs",Noun,Core 2000 Step 09 - 102,
657,ゆっくり,ゆっくり,slowly,Adverb,Core 2000 Step 05 - 189,471
658,段階,だんかい,"stage, step",Noun,Core 2000 Step 03 - 194,2734
659,階段,かいだん,"steps, flight of stairs",Noun,Core 2000 Step 06 - 042,737
660,段々,だんだん,"gradually, one after another",Adverb,Core 2000 Step 09 - 147,10271
661,値段,ねだん,price,Noun,Core 2000 Step 05 - 091,4154
662,価格,かかく,"price, cost (formal)",Noun,Core 2000 Step 03 - 068,10514
663,合格,ごうかく,"passing an examination, eligibility",Verbal Noun,Core 2000 Step 05 - 153,8469
664,夏休み,なつやすみ,summer vacation,Noun,Core 2000 Step 05 - 160,5532
665,冬休み,ふゆやすみ,winter vacation,Noun,Core 2000 Step 09 - 060,27247
666,四季,しき,the four seasons,Noun,Core 2000 Step 08 - 035,9233
667,暑さ,あつさ,"heat, summer heat",Noun,Core 2000 Step 07 - 093,145003
668,熱,ねつ,"fever, heat",Noun,Core 2000 Step 05 - 090,1712
669,寒さ,さむさ,"coldness, cold",Noun,Core 2000 Step 09 - 176,85019
670,アルバイト,アルバイト,"casual job, student job, part-time job",Verbal Noun,Core 2000 Step 06 - 018,5560
671,暖める,あたためる,"warm up (something), heat up を",Verb,Core 2000 Step 09 - 167,17301
672,暖まる,あたたまる, get warm が,Verb,Core 2000 Step 10 - 017,26108
673,温度,おんど,temperature,Noun,Core 2000 Step 05 - 040,7835
674,気温,きおん,atmospheric temperature,Noun,Core 2000 Step 06 - 198,9372
675,台,だい,"stand, platform",Noun,Core 2000 Step 10 - 084,932
676,風,かぜ,wind,Noun,Core 2000 Step 05 - 044,287
677,台風,たいふう,typhoon,Noun,Core 2000 Step 05 - 177,7948
678,事情,じじょう,"circumstances, conditions",Noun,Core 2000 Step 04 - 085,1000
679,ぶつかる,ぶつかる,"hit, bump into に",Verb,Core 2000 Step 06 - 025,1758
680,情報,じょうほう,information,Noun,Core 2000 Step 03 - 017,930
681,報告,ほうこく,report,Verbal Noun,Core 2000 Step 03 - 195,955
682,新聞,しんぶん,newspaper,Noun,Core 2000 Step 03 - 183,907
683,新年,しんねん,New Year,Noun,Core 2000 Step 07 - 127,14359
684,良い,よい,good,Adjective,Core 2000 Step 10 - 179,584
685,中心,ちゅうしん,"center, middle, core",Noun,Core 2000 Step 03 - 037,1386
686,安心,あんしん,"peace of mind, relief",Verbal Noun,Core 2000 Step 06 - 132,1139
687,思い出す,おもいだす,"recollect, recall",Verb,Core 2000 Step 05 - 138,483
688,思い出,おもいで,"recollections, memory",Noun,Core 2000 Step 06 - 037,2684
689,考え,かんがえ,"thought, view, idea",Noun,Core 2000 Step 05 - 031,615
690,解決,かいけつ,"solution, settlement",Verbal Noun,Core 2000 Step 03 - 063,2032
691,知らせる,しらせる,"let know, inform",Verb,Core 2000 Step 07 - 058,1868
692,能力,のうりょく,"ability, capacity",Noun,Core 2000 Step 04 - 002,1395
693,可能,かのう,"possible, potential",Adjectival Noun,Core 2000 Step 03 - 177,1845
694,可,か,"permitted, OK",Noun,Core 2000 Step 10 - 200,3980
695,郵便,ゆうびん,mail,Noun,Core 2000 Step 07 - 148,14706
696,不便,ふべん,inconvenient,Adjectival Noun,Core 2000 Step 08 - 134,9805
697,郵便屋さん,ゆうびんやさん,mailman,Noun,Core 2000 Step 10 - 199,
698,郵便局,ゆうびんきょく,post office,Noun,Core 2000 Step 06 - 084,11321
699,交番,こうばん,police box,Noun,Core 2000 Step 08 - 074,12590
700,番地,ばんち,"house number, address",Noun,Core 2000 Step 09 - 082,9352
701,番号,ばんごう,number,Noun,Core 2000 Step 06 - 071,3910
702,場所,ばしょ,"place, space",Noun,Core 2000 Step 04 - 007,325
703,近所,きんじょ,neighborhood,Noun,Core 2000 Step 05 - 128,1907
704,台所,だいどころ,kitchen,Noun,Core 2000 Step 06 - 060,1748
705,住所,じゅうしょ,"address, one's dwelling",Noun,Core 2000 Step 07 - 004,3291
706,便所,べんじょ,"bathroom, lavatory",Noun,Core 2000 Step 10 - 154,6177
707,有名,ゆうめい,famous,Adjectival Noun,Core 2000 Step 05 - 070,1459
708,おかしい,おかしい,"strange, peculiar, suspicious",Adjective,Core 2000 Step 06 - 075,772
709,名字,みょうじ,"surname, family name",Noun,Core 2000 Step 09 - 033,20172
710,氏名,しめい,full name,Noun,Core 2000 Step 10 - 067,16015
711,各国,かっこく,every country,Noun,Core 2000 Step 04 - 118,10697
712,町,まち,"town, city quarter",Noun,Core 2000 Step 10 - 162,313
713,都市,とし,"city, urban community",Noun,Core 2000 Step 03 - 197,1964
714,都合,つごう,circumstances,Noun,Core 2000 Step 08 - 094,2058
715,朝ご飯,あさごはん,breakfast,Noun,Core 2000 Step 10 - 016,31094
716,買い物,かいもの,"shopping, purchase",Verbal Noun,Core 2000 Step 06 - 019,5846
717,荷物,にもつ,"baggage, package",Noun,Core 2000 Step 06 - 094,1789
